employee_id;job_id;rank_id;sci_job_id;main_work_id
120;6;2;5;3542
121;12;4;5;11342
122;12;2;4;8470
123;7;1;2;11744
124;5;2;5;10089
125;11;2;1;4883
126;11;4;1;14783
127;8;2;2;9017
128;9;3;6;1102
129;3;4;5;5049
130;10;1;1;17883
131;10;2;4;1225
132;7;2;2;10288
133;10;4;2;5722
134;10;2;3;14396
135;10;3;4;17615
136;12;4;4;7937
137;7;4;5;14173
138;5;2;1;17416
139;12;2;1;7997
140;10;1;3;7228
141;4;3;6;277
142;5;1;6;14574
143;9;2;6;2910
144;6;4;3;14628
145;12;1;1;4714
146;4;1;4;11950
147;5;3;5;7951
148;9;1;6;814
149;7;1;5;16363
150;7;4;2;8577
151;9;1;4;17352
152;4;4;3;2534
153;11;1;3;4888
154;4;2;3;12
155;10;4;2;12041
156;8;2;6;12056
157;10;3;3;15304
158;5;1;3;3043
159;3;2;4;11992
160;9;3;1;9562
161;7;2;5;15839
162;12;1;4;4187
163;8;1;1;5405
164;8;3;6;4802
165;8;4;6;10069
166;5;3;2;10726
167;11;3;4;17901
168;12;4;5;8340
169;4;1;4;6548
170;4;3;5;1706
171;3;1;6;7133
172;6;3;6;1914
173;6;2;6;12508
174;6;4;4;3935
175;4;1;1;3419
176;4;1;3;14570
177;8;1;1;14912
178;4;3;1;3694
179;3;4;4;2364
180;6;3;4;15407
181;4;1;4;17751
182;3;1;6;13600
183;6;2;2;19772
184;9;4;4;14215
185;10;3;4;12137
186;12;3;4;12832
187;5;1;1;12343
188;12;2;5;15314
189;10;4;3;2133
190;11;2;5;7662
191;3;1;2;16229
192;6;2;6;4709
193;6;3;3;9068
194;3;2;2;1012
195;12;2;5;10087
196;12;1;2;17040
197;5;4;3;11638
198;8;1;1;3497
199;7;4;6;16310
200;3;1;5;19797
201;8;3;4;8742
202;9;2;6;17880
203;6;2;5;18677
204;8;2;2;19059
205;9;3;2;15866
206;10;4;2;14280
207;4;4;2;9113
208;3;2;3;5944
209;10;3;2;14368
210;9;1;5;1524
211;7;3;4;15303
212;6;2;4;13809
213;3;4;5;11321
214;7;3;3;15374
215;10;4;4;19257
216;5;4;2;5380
217;5;3;5;17938
218;6;2;3;7733
219;7;1;4;16963
220;7;2;4;1814
221;8;2;3;7069
222;7;1;3;3294
223;12;1;5;520
224;8;4;6;16836
225;6;3;1;19941
226;5;4;3;13910
227;5;2;2;18230
228;6;1;4;18264
229;10;2;1;2447
230;12;1;1;5751
231;10;2;4;2332
232;5;3;4;1703
233;10;4;2;11560
234;3;2;1;9751
235;9;1;5;18479
236;8;2;3;9092
237;7;1;5;1413
238;8;1;6;1288
239;5;2;3;4790
240;3;1;5;4640
241;8;3;2;13286
242;11;2;4;17143
243;9;4;1;12812
244;11;1;5;17888
245;12;3;2;8526
246;6;3;6;4310
247;10;4;2;19758
248;9;4;3;8512
249;7;3;2;10935
250;4;4;2;4364
251;9;3;4;12028
252;6;2;4;13545
253;4;1;2;6542
254;10;1;4;18972
255;9;2;6;3917
256;6;2;3;13495
257;5;4;2;18664
258;5;4;6;18054
259;10;4;5;6858
260;9;2;5;13301
261;5;1;4;2152
262;10;1;2;6169
263;3;4;2;14774
264;8;3;6;2094
265;3;2;3;4810
266;3;4;5;4318
267;7;3;3;9785
268;7;3;5;9324
269;10;3;4;10458
270;4;2;4;19588
271;4;2;3;7282
272;7;2;5;6107
273;3;1;3;2441
274;11;1;2;13091
275;3;1;5;16566
276;3;4;4;10638
277;12;1;6;10319
278;6;3;2;6483
279;3;2;2;6645
280;10;4;2;5116
281;5;3;1;16848
282;12;3;3;388
283;8;3;3;12064
284;5;3;2;3649
285;6;3;2;19432
286;11;2;6;17357
287;12;3;5;5878
288;9;4;5;17050
289;9;3;1;13191
290;7;3;5;1025
291;7;4;6;8326
292;6;1;6;10514
293;9;2;4;14955
294;6;4;3;16061
295;9;1;2;9445
296;4;4;4;18627
297;8;1;2;17195
298;3;4;1;8119
299;7;3;4;13253
300;12;1;4;11268
301;9;1;1;11628
302;4;1;1;8009
303;5;2;5;14084
304;6;1;4;979
305;9;4;1;5718
306;9;3;2;2956
307;8;2;1;12061
308;12;4;1;7957
309;12;1;3;5462
310;3;3;6;13728
311;11;4;1;3129
312;12;3;5;6547
313;8;3;2;15647
314;7;4;5;19576
315;4;2;4;905
316;7;1;6;18411
317;9;2;2;2119
318;10;3;3;3337
319;10;2;2;4867
320;7;2;5;4357
321;6;4;6;265
322;11;3;3;16919
323;6;2;6;1513
324;5;1;4;14727
325;6;2;3;11493
326;10;4;6;7132
327;8;1;3;18753
328;7;3;2;5754
329;9;3;4;10666
330;7;1;2;6593
331;8;3;4;19279
332;4;3;5;14948
333;4;4;3;6804
334;6;1;2;11253
335;6;1;3;19535
336;9;3;1;3348
337;11;3;3;7652
338;5;3;3;18966
339;8;3;3;13549
340;5;1;6;12572
341;3;4;5;3235
342;11;4;6;18924
343;12;1;2;15278
344;4;2;5;8980
345;9;4;5;15023
346;8;2;3;15724
347;9;4;3;8732
348;7;3;3;15953
349;5;3;3;2156
350;7;1;1;861
351;12;2;4;2760
352;9;1;2;11636
353;6;3;6;1661
354;4;2;1;1089
355;9;4;4;17508
356;8;3;1;13302
357;5;1;3;12321
358;9;2;1;12214
359;5;1;1;16571
360;9;2;3;7020
361;8;3;4;10005
362;7;3;2;9033
363;7;1;4;7072
364;8;1;3;5932
365;11;4;6;2185
366;7;3;1;1968
367;6;2;3;10427
368;7;4;5;686
369;7;3;4;13768
370;3;1;5;686
371;6;1;1;8684
372;7;4;2;17960
373;12;4;4;9403
374;7;4;3;9375
375;7;3;6;14391
376;4;4;6;7562
377;3;2;2;9539
378;11;1;3;8988
379;6;4;1;11918
380;8;1;3;466
381;4;1;2;5775
382;7;1;5;16085
383;5;4;2;15266
384;4;2;4;11886
385;5;4;3;9641
386;7;2;2;14632
387;11;1;4;1375
388;9;1;2;18646
389;5;4;5;17318
390;8;4;2;9872
391;9;2;3;6894
392;8;4;1;7499
393;12;1;2;13997
394;3;4;5;10360
395;7;1;2;17035
396;3;3;5;17529
397;10;2;2;5424
398;8;4;2;16033
399;6;4;3;19511
400;4;3;6;1174
401;10;4;3;6481
402;6;2;2;18351
403;4;4;4;880
404;10;1;3;16007
405;6;3;5;4306
406;3;3;1;10011
407;5;2;1;10412
408;10;4;5;17748
409;11;1;5;8304
410;4;1;5;9924
411;11;2;4;6070
412;6;1;3;7791
413;4;2;2;13800
414;4;3;1;3166
415;6;3;5;9119
416;6;3;2;11632
417;8;3;3;5608
418;12;1;4;10299
419;10;3;3;15627
420;8;4;3;16468
421;3;1;4;3270
422;10;4;2;19293
423;8;1;4;13243
424;12;4;4;19656
425;3;1;1;8674
426;5;4;5;1953
427;7;4;3;17512
428;9;4;6;14860
429;12;2;6;301
430;6;4;2;10035
431;12;3;2;19056
432;5;2;6;11088
433;3;1;6;15395
434;12;1;1;1574
435;6;2;2;6783
436;12;3;3;10446
437;5;2;5;3527
438;8;2;2;17375
439;8;1;4;17718
440;4;1;1;14779
441;11;3;4;16276
442;6;2;2;11900
443;8;1;6;2522
444;4;4;2;5020
445;7;4;3;19686
446;4;1;3;14284
447;10;3;3;8694
448;12;2;1;10307
449;10;1;1;11496
450;12;2;3;5109
451;5;4;1;3012
452;7;4;3;12360
453;6;4;2;9360
454;8;3;6;4370
455;10;2;6;3574
456;3;2;2;7710
457;4;2;1;1031
458;3;4;3;18796
459;8;2;3;14260
460;4;2;1;6024
461;10;2;4;19769
462;5;1;2;3738
463;10;1;1;7879
464;6;1;5;638
465;7;1;1;1148
466;6;4;4;13299
467;5;4;4;18743
468;5;4;3;3382
469;10;2;2;980
470;7;1;6;7899
471;10;3;4;4938
472;9;4;6;10384
473;4;4;1;1489
474;5;4;4;18125
475;9;1;1;19360
476;3;1;2;19105
477;7;4;4;18252
478;4;1;3;17351
479;8;2;5;14423
480;6;4;5;7110
481;6;3;5;6129
482;4;3;5;4042
483;11;4;3;5630
484;7;4;1;19870
485;10;2;6;8567
486;8;1;1;19420
487;12;3;6;7731
488;4;1;2;13908
489;9;2;3;18088
490;4;4;6;819
491;7;1;6;11839
492;11;1;5;8827
493;5;1;1;14444
494;10;3;2;17685
495;10;1;1;8140
496;12;3;2;2630
497;7;4;6;14783
498;8;3;2;13220
499;3;3;6;18589
500;8;3;6;1137
501;9;1;5;14522
502;8;1;5;6694
503;9;4;5;15079
504;7;3;6;6009
505;10;3;2;2147
506;9;2;1;19235
507;4;2;3;9329
508;3;1;2;9029
509;5;1;3;946
510;9;2;3;8393
511;9;3;5;10283
512;11;2;2;2111
513;4;1;5;7037
514;10;4;2;18566
515;5;4;6;12851
516;6;2;4;13601
517;8;1;2;8028
518;7;2;4;6698
519;4;1;2;18414
520;12;1;1;17703
521;10;2;1;18582
522;5;2;5;14554
523;3;4;4;2273
524;11;2;5;3667
525;10;2;4;3467
526;6;2;3;1079
527;9;1;6;17667
528;10;2;6;6845
529;3;4;3;18770
530;7;1;6;3677
531;8;4;2;13222
532;3;1;2;10897
533;11;1;1;14999
534;5;4;4;6117
535;5;1;2;2961
536;5;3;2;7145
537;11;3;5;5057
538;5;1;4;1949
539;12;2;1;13303
540;6;4;1;2358
541;5;2;2;8372
542;12;3;3;13104
543;4;2;4;16930
544;4;1;6;6984
545;5;2;2;1418
546;6;2;1;10578
547;6;1;1;1265
548;8;3;1;11626
549;4;1;1;19336
550;9;2;6;1264
551;8;1;3;9821
552;10;3;3;18066
553;8;2;3;17431
554;5;2;1;3575
555;11;3;2;17978
556;8;4;6;2196
557;5;3;4;15744
558;6;4;5;4894
559;10;1;5;17036
560;6;1;3;11358
561;5;4;2;6119
562;6;2;3;14149
563;6;1;6;13456
564;3;1;6;15525
565;9;3;3;7622
566;9;2;1;11668
567;5;2;3;19814
568;6;2;3;10090
569;3;3;5;5984
570;3;2;6;19343
571;9;3;4;14934
572;3;1;5;946
573;3;4;3;4752
574;9;3;4;8925
575;4;2;2;46
576;9;2;3;9350
577;10;3;5;17876
578;12;2;3;3168
579;9;1;5;6434
580;9;4;2;15167
581;10;4;6;1458
582;3;4;2;19787
583;11;3;3;6504
584;10;3;2;11917
585;5;3;1;16973
586;5;1;6;16764
587;8;3;3;17865
588;7;4;4;15519
589;6;1;3;10832
590;3;3;1;4374
591;5;1;3;12840
592;11;1;6;6310
593;3;4;1;14267
594;8;3;5;17999
595;10;1;4;6031
596;9;4;5;8331
597;12;1;2;5096
598;9;3;2;8185
599;12;2;2;5935
600;9;4;5;5978
601;11;4;6;8913
602;6;4;5;16842
603;10;2;5;13144
604;12;4;5;1376
605;5;4;6;19685
606;8;3;1;15708
607;5;3;5;17699
608;10;4;4;4421
609;11;4;1;13101
610;10;4;4;13729
611;8;2;2;8739
612;10;1;5;17647
613;12;4;6;19937
614;8;1;5;13570
615;7;2;5;19493
616;7;2;5;11661
617;10;1;1;12460
618;8;2;5;11617
619;7;1;3;3578
620;9;2;2;17270
621;3;2;1;10018
622;3;3;4;11394
623;7;1;5;14521
624;9;1;6;2269
625;7;3;1;4313
626;9;3;4;2337
627;12;2;3;13502
628;3;4;4;9918
629;12;1;4;12575
630;6;2;4;7581
631;5;1;2;8893
632;9;1;6;10547
633;11;1;5;5057
634;5;1;4;19038
635;7;1;4;11829
636;3;3;6;17923
637;6;1;4;5806
638;5;4;1;2381
639;6;3;5;2815
640;11;3;4;5520
641;3;3;1;4180
642;11;2;4;3454
643;3;3;3;19375
644;9;3;2;3934
645;7;4;2;18595
646;11;2;5;10450
647;5;2;1;16116
648;7;4;2;13658
649;10;3;4;18796
650;11;2;6;967
651;4;4;5;17708
652;11;2;5;14275
653;6;1;5;19609
654;8;4;1;10925
655;5;1;6;13139
656;8;2;5;17465
657;7;2;2;17735
658;10;4;4;13432
659;4;3;1;13190
660;9;4;3;558
661;12;2;1;10983
662;11;1;6;6384
663;7;4;5;16757
664;7;2;6;5710
665;8;3;6;6205
666;12;2;6;19729
667;8;2;6;9762
668;9;4;6;8226
669;3;3;1;18320
670;5;1;3;13587
671;11;3;3;6602
672;5;4;1;6426
673;7;2;3;3045
674;9;1;5;14015
675;8;3;1;17558
676;3;3;3;12613
677;8;2;4;8227
678;4;3;2;1944
679;12;3;2;10042
680;8;2;4;11260
681;12;2;2;1607
682;12;2;3;1363
683;7;1;2;18159
684;5;1;1;19946
685;3;4;4;943
686;3;3;1;4027
687;4;2;6;12585
688;6;2;6;12086
689;5;3;5;13467
690;6;3;2;7704
691;8;4;3;1632
692;7;1;3;10778
693;12;2;6;17508
694;8;3;1;13519
695;8;4;4;5113
696;5;1;4;10496
697;3;3;3;13165
698;7;1;4;9271
699;12;2;6;11371
700;11;3;5;19566
701;3;1;5;15825
702;3;4;6;9672
703;8;4;2;468
704;4;4;3;6835
705;12;1;3;15908
706;5;3;1;2926
707;6;3;2;16357
708;6;4;6;14452
709;10;2;2;18634
710;6;3;6;14943
711;5;3;4;15137
712;8;1;3;5414
713;5;1;5;7577
714;6;1;3;18183
715;6;1;5;18246
716;12;3;2;11568
717;5;4;2;19784
718;6;2;1;302
719;11;2;3;7652
720;7;3;4;11687
721;12;1;4;4119
722;3;2;5;10436
723;7;1;2;6098
724;7;1;5;4930
725;3;4;2;22
726;10;3;1;509
727;11;2;6;15625
728;7;4;2;8312
729;11;4;4;10356
730;7;3;1;14978
731;9;2;1;16752
732;6;2;3;14434
733;12;2;3;13357
734;6;4;4;2268
735;12;1;3;2994
736;12;3;4;14828
737;11;4;2;7764
738;7;4;5;64
739;5;1;4;6201
740;8;2;5;16778
741;7;2;2;13560
742;7;1;1;17433
743;3;3;5;18671
744;5;1;2;8010
745;10;2;5;15982
746;3;3;2;14298
747;8;3;6;13535
748;10;1;3;12268
749;4;3;3;9512
750;5;3;1;6977
751;10;2;3;12633
752;6;1;6;11255
753;4;2;3;15220
754;5;3;3;4236
755;8;3;5;14081
756;9;4;5;16948
757;12;2;1;15348
758;12;3;5;9379
759;9;1;5;6254
760;4;4;1;14289
761;10;3;5;15308
762;4;4;6;5694
763;7;2;5;16526
764;11;1;1;14906
765;5;4;5;5772
766;9;1;2;2017
767;5;2;4;18130
768;5;2;3;19766
769;7;1;1;6490
770;7;1;5;16693
771;6;3;4;7844
772;7;4;2;10422
773;5;1;3;19296
774;4;2;4;13364
775;7;1;3;10148
776;12;1;6;19872
777;8;3;2;17161
778;3;1;3;17675
779;6;3;6;124
780;9;1;1;5007
781;10;3;4;10520
782;8;4;1;17833
783;8;3;2;7266
784;6;1;1;10131
785;4;1;6;8175
786;5;1;6;12523
787;4;4;1;5130
788;7;2;2;16141
789;9;4;2;11271
790;8;4;2;6947
791;5;2;5;1131
792;6;3;4;11342
793;11;2;1;2414
794;12;2;1;6923
795;5;3;1;1905
796;11;3;1;510
797;7;1;2;10964
798;8;3;1;3802
799;7;4;6;10483
800;12;1;6;18869
801;12;4;1;6593
802;5;4;3;17824
803;8;4;5;8532
804;12;3;3;1385
805;6;3;4;14432
806;3;1;3;10277
807;12;4;1;19739
808;10;1;1;7477
809;4;3;5;6480
810;12;1;2;3934
811;10;1;5;19283
812;5;3;1;14473
813;10;3;3;7088
814;10;2;5;9196
815;11;3;2;9280
816;11;4;1;19113
817;8;3;1;10036
818;10;4;5;14342
819;10;4;6;12342
820;3;2;2;348
821;3;3;5;15698
822;9;4;2;5931
823;11;2;1;9789
824;4;2;1;2714
825;12;3;5;19922
826;5;2;4;17723
827;3;4;6;1719
828;7;1;5;3376
829;5;1;5;3081
830;4;1;1;19381
831;5;3;1;11629
832;12;1;2;16796
833;10;1;6;7275
834;10;2;4;9411
835;6;3;2;11217
836;4;3;4;9529
837;4;4;5;3751
838;3;2;4;13091
839;4;4;2;4915
840;4;1;1;4032
841;8;3;4;9713
842;6;1;3;13978
843;10;4;1;9809
844;8;3;2;8067
845;4;4;4;6182
846;10;1;6;15249
847;10;4;4;17707
848;8;2;4;16210
849;6;1;1;733
850;5;1;1;11072
851;10;3;6;14211
852;9;4;2;15325
853;8;3;2;14680
854;7;4;3;1058
855;12;3;2;15028
856;11;3;5;14312
857;4;3;2;1805
858;12;3;4;2058
859;5;3;5;16146
860;7;3;5;17637
861;11;1;5;17235
862;12;3;3;2660
863;8;4;2;14160
864;8;4;6;7997
865;5;3;5;2734
866;11;3;5;7213
867;3;3;3;17003
868;10;3;5;625
869;12;4;4;17064
870;4;4;6;19704
871;10;2;2;18314
872;9;3;1;1402
873;12;3;3;12341
874;10;1;4;1031
875;10;3;2;5421
876;8;4;1;8723
877;3;2;5;12487
878;6;1;2;16198
879;7;2;3;3835
880;6;4;5;17012
881;12;3;2;10979
882;4;1;6;19018
883;9;4;5;11324
884;6;4;5;7811
885;3;4;1;18746
886;5;3;5;6130
887;3;2;2;736
888;3;2;5;901
889;4;3;2;7140
890;7;4;5;12059
891;5;1;1;3847
892;7;1;1;18648
893;9;4;3;3309
894;11;2;4;916
895;4;4;6;7661
896;12;3;3;3843
897;5;2;2;16602
898;5;4;3;17314
899;10;3;6;16948
900;9;2;3;13481
901;5;4;5;15558
902;7;4;6;14198
903;10;1;1;7414
904;5;4;1;416
905;7;2;6;5463
906;6;1;2;15984
907;4;4;5;19634
908;3;3;6;10694
909;4;4;4;15542
910;12;2;1;6557
911;5;4;4;15932
912;3;4;3;225
913;12;4;6;13300
914;11;1;4;9908
915;11;2;2;15489
916;4;1;4;12222
917;3;3;4;19901
918;4;2;2;11545
919;7;3;4;17861
920;4;3;5;2001
921;4;1;1;18435
922;5;2;6;7595
923;11;4;4;6079
924;12;2;1;5786
925;10;3;3;5190
926;6;3;5;17469
927;12;3;6;13839
928;9;1;1;14979
929;9;3;1;3482
930;11;4;3;16897
931;11;3;6;13814
932;10;2;3;8910
933;12;4;3;1636
934;12;4;4;382
935;4;4;5;4925
936;5;3;2;2322
937;11;2;4;14452
938;4;2;2;5846
939;9;3;1;7609
940;5;2;1;3085
941;5;4;1;8154
942;10;2;1;19870
943;6;4;3;14414
944;3;1;1;11930
945;12;4;4;1129
946;11;4;3;15147
947;5;3;1;3542
948;4;4;1;16728
949;9;4;4;11687
950;4;4;2;5484
951;11;2;3;13641
952;4;2;5;3272
953;12;4;4;3426
954;8;1;3;5820
955;11;4;1;2984
956;12;2;3;5499
957;10;2;6;15843
958;7;2;2;2352
959;6;1;3;19635
960;4;4;3;4651
961;8;2;5;15703
962;6;4;3;17522
963;10;3;4;3333
964;3;1;3;1116
965;3;2;3;3906
966;3;2;2;4475
967;6;3;2;7311
968;10;2;5;10022
969;7;4;1;4701
970;8;3;5;17240
971;3;4;3;17085
972;8;2;2;13857
973;11;2;6;16033
974;10;4;4;12479
975;12;2;3;19638
976;11;4;5;3510
977;4;4;2;6924
978;12;2;6;8555
979;10;4;1;6773
980;5;4;6;12272
981;3;3;6;4197
982;3;4;3;8781
983;4;4;4;4317
984;4;1;1;18305
985;12;4;6;8644
986;5;3;1;2808
987;5;1;6;13132
988;3;3;2;1404
989;3;1;4;14430
990;3;1;5;3715
991;4;1;4;7700
992;7;1;6;2657
993;12;2;4;14509
994;9;3;1;14112
995;3;2;3;11756
996;6;3;5;604
997;9;1;4;12906
998;10;2;6;5431
999;3;1;4;19631
1000;4;4;5;1780
1001;12;4;2;3591
1002;3;2;6;15288
1003;5;4;4;3239
1004;5;4;6;5506
1005;8;3;1;19415
1006;9;1;6;9956
1007;9;3;1;12291
1008;11;2;5;16118
1009;9;4;6;16536
1010;6;2;3;4717
1011;3;2;4;1640
1012;12;2;2;719
1013;4;4;6;14165
1014;8;4;1;13418
1015;11;3;3;5134
1016;5;1;4;2642
1017;10;4;4;9835
1018;11;4;3;4468
1019;7;4;3;15809
1020;8;3;2;1285
1021;7;3;3;2427
1022;9;1;2;10646
1023;8;1;5;1168
1024;4;4;4;12251
1025;10;3;6;2645
1026;5;3;1;1073
1027;10;2;4;17528
1028;11;1;1;6964
1029;5;4;5;3128
1030;6;3;4;4815
1031;5;2;5;15712
1032;6;1;2;19393
1033;9;4;4;19896
1034;9;1;1;14895
1035;10;4;5;17072
1036;9;3;5;5072
1037;10;1;6;291
1038;8;3;1;11331
1039;5;1;4;6663
1040;10;4;1;8584
1041;9;4;4;3472
1042;10;1;2;9303
1043;6;4;1;6071
1044;11;4;2;16297
1045;7;2;4;19904
1046;11;3;5;15877
1047;6;1;5;16055
1048;12;4;6;9574
1049;10;2;4;18621
1050;5;1;5;405
1051;5;3;2;13138
1052;7;4;4;11500
1053;4;4;1;1429
1054;8;2;6;13779
1055;9;1;5;16148
1056;5;2;6;14970
1057;3;3;6;14446
1058;8;1;4;16256
1059;9;4;5;4371
1060;12;1;2;9840
1061;11;2;6;13729
1062;4;3;6;12712
1063;8;4;2;14582
1064;9;3;1;19794
1065;3;4;2;11400
1066;9;2;3;7678
1067;7;1;3;18226
1068;5;1;1;8732
1069;7;3;4;8544
1070;3;1;5;9347
1071;12;4;6;16021
1072;5;1;4;494
1073;6;4;4;15694
1074;6;2;1;3949
1075;10;2;6;19199
1076;3;4;4;11107
1077;12;4;6;157
1078;7;4;6;4336
1079;3;4;3;1078
1080;6;4;1;13876
1081;5;2;3;7818
1082;4;2;3;12579
1083;9;1;6;5261
1084;7;1;1;248
1085;4;4;3;10970
1086;4;4;3;1583
1087;9;3;4;808
1088;3;2;4;5914
1089;8;1;5;9559
1090;10;4;1;6399
1091;10;4;1;13507
1092;6;3;2;12929
1093;8;3;2;1646
1094;3;3;6;2225
1095;5;4;5;8730
1096;9;2;6;19684
1097;8;2;6;7020
1098;3;1;1;6869
1099;8;3;5;4792
1100;3;2;5;1148
1101;7;3;3;4599
1102;11;4;1;15730
1103;9;3;1;10039
1104;7;3;1;7751
1105;6;4;6;16009
1106;4;3;4;13160
1107;3;1;1;18556
1108;5;1;4;10696
1109;10;3;6;5044
1110;5;4;4;3782
1111;8;3;2;7320
1112;4;4;6;18520
1113;10;4;3;9563
1114;5;2;3;8466
1115;8;2;1;15345
1116;6;3;3;13526
1117;10;1;3;11361
1118;7;2;1;1676
1119;4;2;6;9284
1120;5;3;5;3694
1121;5;4;6;8679
1122;5;2;4;2760
1123;9;1;2;18647
1124;10;3;3;11693
1125;4;3;6;1753
1126;9;3;4;121
1127;9;4;5;5410
1128;5;2;3;6228
1129;8;4;6;6690
1130;9;3;3;4176
1131;7;4;6;5269
1132;5;3;5;5259
1133;11;1;6;14787
1134;3;3;3;2456
1135;11;3;4;18459
1136;6;3;5;5159
1137;4;3;1;1557
1138;8;4;4;7570
1139;12;1;1;2831
1140;11;3;5;5238
1141;10;1;3;5878
1142;11;2;3;4203
1143;6;2;2;3987
1144;9;2;1;13206
1145;12;4;2;1408
1146;5;1;4;5737
1147;4;3;3;1786
1148;10;4;3;12473
1149;8;4;6;6593
1150;10;4;4;16119
1151;9;4;1;8627
1152;10;2;2;19340
1153;3;4;1;10882
1154;5;4;2;6130
1155;6;2;5;3655
1156;5;3;3;3117
1157;4;2;4;7052
1158;3;1;5;17499
1159;9;2;5;3974
1160;10;4;5;11191
1161;5;2;2;433
1162;7;1;1;3698
1163;8;4;2;10286
1164;3;4;3;1579
1165;4;3;3;13178
1166;4;2;4;8074
1167;6;4;4;16302
1168;5;3;6;15106
1169;4;4;5;14809
1170;11;3;2;12656
1171;11;2;2;19200
1172;12;4;5;9804
1173;10;3;5;6153
1174;7;2;2;19047
1175;12;4;4;11477
1176;3;2;2;8033
1177;8;1;1;10226
1178;7;2;1;11182
1179;4;3;4;9224
1180;4;3;2;18543
1181;3;3;1;407
1182;6;3;5;5721
1183;4;3;6;16795
1184;6;1;3;12883
1185;7;3;3;16818
1186;10;1;6;12186
1187;3;2;4;6968
1188;5;1;4;6079
1189;10;3;5;2505
1190;12;2;5;11936
1191;12;1;4;18397
1192;8;1;4;14955
1193;3;4;1;16407
1194;10;1;3;7744
1195;7;3;1;16800
1196;10;1;4;5629
1197;6;2;5;2539
1198;10;3;4;19931
1199;7;3;1;18800
1200;8;1;5;1777
1201;12;3;3;9583
1202;9;1;6;11359
1203;12;1;2;1715
1204;7;1;5;9038
1205;3;2;1;4525
1206;4;3;2;17797
1207;8;1;5;12673
1208;6;2;2;2550
1209;11;3;6;1264
1210;12;1;3;18375
1211;12;2;4;6233
1212;11;4;2;9775
1213;7;3;5;736
1214;11;2;4;4132
1215;12;1;5;3276
1216;9;1;2;18737
1217;4;4;6;9051
1218;11;4;3;9098
1219;7;4;2;8241
1220;6;1;3;19463
1221;8;2;3;7048
1222;3;1;6;5563
1223;7;2;2;13676
1224;3;4;4;18880
1225;3;1;4;14680
1226;8;1;4;5066
1227;10;3;5;515
1228;6;2;1;9191
1229;5;3;4;6602
1230;3;3;5;12620
1231;4;1;2;5862
1232;12;1;6;16781
1233;3;3;2;14101
1234;7;3;4;14126
1235;3;2;5;3766
1236;3;4;4;8239
1237;3;3;4;15419
1238;12;1;4;15580
1239;11;3;1;11172
1240;9;1;3;4130
1241;8;2;3;15236
1242;4;3;3;19314
1243;4;1;1;10988
1244;9;1;4;12775
1245;7;4;1;8579
1246;6;2;2;8469
1247;7;4;2;1888
1248;9;4;3;7637
1249;10;4;1;16834
1250;5;2;3;13557
1251;3;4;4;3041
1252;9;3;6;6161
1253;7;2;3;13683
1254;8;2;1;10703
1255;7;2;5;15047
1256;5;2;3;11058
1257;5;2;1;8834
1258;11;4;5;17655
1259;6;4;6;17090
