({{integer 1 10010}}, {{integer 1 10003}}, {{integer 1 233}}, {{float 1000 5000 2}}),
(1188, 5582, 33, 4567.23),
(457, 3637, 199, 3065.57),
(3940, 9966, 29, 2927.36),
(3928, 5417, 129, 3516.43),
(3108, 8832, 37, 2026.53),
(5585, 4747, 58, 2889.04),
(4725, 5716, 221, 2160.30),
(5661, 715, 117, 2080.59),
(5032, 1275, 183, 2627.87),
(8306, 3438, 140, 3324.69),
(8777, 8812, 73, 3591.13),
(6006, 4206, 10, 1924.95),
(1259, 2594, 163, 2748.80),
(2336, 1405, 165, 4835.29),
(7775, 6891, 29, 4095.90),
(7068, 4557, 180, 4894.48),
(7333, 6573, 72, 2760.01),
(8129, 651, 159, 2322.46),
(2647, 5035, 143, 4483.74),
(2165, 1701, 188, 3878.94),
(8069, 6694, 69, 4730.25),
(393, 5697, 74, 2097.11),
(8685, 5290, 61, 3234.51),
(2539, 5362, 120, 3525.09),
(1589, 9342, 143, 1913.64),
(3905, 4065, 59, 2683.54),
(4455, 5453, 55, 2836.23),
(6758, 9845, 16, 4874.35),
(959, 3451, 124, 1185.20),
(937, 9356, 50, 2625.14),
(5257, 4888, 143, 2397.86),
(7332, 8345, 172, 2456.14),
(8859, 5420, 94, 2672.44),
(7773, 9339, 158, 3692.19),
(3250, 2579, 48, 1104.25),
(3104, 2200, 119, 3027.35),
(3873, 3376, 6, 2396.19),
(357, 6934, 43, 2787.13),
(9054, 4951, 200, 2477.94),
(9228, 203, 36, 1431.86),
(6620, 5882, 102, 1117.82),
(5784, 1133, 178, 2319.34),
(4681, 87, 178, 3102.93),
(6276, 2090, 103, 1710.53),
(922, 1062, 71, 2575.23),
(7538, 1152, 93, 1389.65),
(8184, 5275, 221, 3802.40),
(9403, 6744, 30, 4911.02),
(1085, 1748, 101, 2299.30),
(2272, 6042, 63, 2298.29),
(5915, 2715, 209, 3751.39),
(5525, 6408, 186, 4454.97),
(8913, 4627, 3, 3552.96),
(1250, 1516, 179, 4356.21),
(5904, 5197, 121, 1341.40),
(8018, 8192, 5, 1078.07),
(9162, 9335, 168, 1110.04),
(4646, 3930, 223, 3743.99),
(248, 8626, 186, 2964.72),
(7323, 3447, 82, 1543.01),
(1749, 726, 47, 1157.09),
(4392, 3570, 60, 1069.06),
(9436, 6889, 112, 3712.75),
(3836, 1681, 76, 1691.56),
(4868, 7687, 59, 4985.91),
(5879, 3397, 50, 3677.40),
(462, 7875, 138, 4381.49),
(5088, 3492, 68, 2457.84),
(3688, 4492, 90, 4659.97),
(3705, 4227, 68, 1762.82),
(7259, 4382, 187, 2879.22),
(9813, 2540, 122, 1003.60),
(681, 8825, 153, 1469.28),
(743, 7864, 95, 4135.88),
(8304, 8624, 145, 4623.78),
(6780, 1092, 195, 3459.90),
(791, 8090, 88, 3448.42),
(2468, 10, 221, 2565.08),
(5896, 3556, 155, 2433.44),
(6842, 3651, 32, 1173.23),
(916, 6900, 154, 1320.15),
(8049, 7437, 158, 1667.67),
(1353, 7513, 154, 1499.84),
(8510, 4440, 95, 4833.58),
(9806, 695, 182, 1991.97),
(3398, 7494, 20, 1672.23),
(1461, 3430, 136, 4108.20),
(6383, 8807, 110, 1843.75),
(9229, 2495, 27, 3549.10),
(3258, 9493, 146, 1989.23),
(6938, 58, 200, 4606.02),
(5957, 5289, 23, 1540.15),
(6256, 410, 90, 1966.84),
(2125, 8790, 227, 4979.75),
(2373, 4076, 170, 1321.33),
(9409, 2361, 26, 3520.60),
(4321, 5373, 63, 2369.51),
(5657, 3235, 17, 3001.06),
(229, 9367, 71, 2614.21),
(5650, 2429, 130, 1079.45),
(6158, 6254, 5, 3185.47),
(1621, 2691, 33, 1624.13),
(6203, 7055, 142, 1628.62),
(7592, 2428, 38, 2955.16),
(4657, 8805, 94, 3871.78),
(3659, 5840, 216, 3942.18),
(8588, 9, 70, 2509.12),
(6227, 2887, 78, 1391.69),
(5382, 9609, 154, 1383.62),
(517, 526, 58, 2039.51),
(6986, 7303, 24, 4313.88),
(7933, 1264, 81, 3620.91),
(389, 3091, 28, 2201.54),
(5452, 3451, 87, 2063.29),
(4684, 5251, 156, 1267.19),
(2414, 3214, 185, 3402.69),
(9638, 9072, 24, 4520.24),
(9721, 3601, 18, 1897.03),
(2473, 5045, 115, 4525.22),
(5127, 1292, 152, 3315.30),
(4162, 1694, 83, 1181.81),
(695, 1546, 154, 2162.72),
(364, 1891, 68, 3156.53),
(8418, 5067, 134, 3707.29),
(527, 2105, 185, 2783.42),
(752, 5530, 145, 3395.65),
(6186, 4916, 139, 4751.12),
(4335, 9283, 69, 4922.87),
(5941, 2848, 11, 2266.21),
(4054, 5502, 232, 2022.34),
(9130, 71, 79, 1212.68),
(755, 7544, 68, 2158.97),
(3859, 781, 11, 4084.07),
(8170, 4555, 128, 4164.78),
(2888, 6894, 178, 3357.15),
(8453, 4077, 94, 1367.68),
(8290, 4180, 78, 2834.43),
(6216, 5659, 18, 1555.73),
(6327, 4807, 186, 3893.12),
(8149, 5647, 116, 1122.36),
(9953, 8651, 118, 1932.92),
(6579, 4468, 232, 4429.26),
(3817, 5083, 117, 3283.12),
(5655, 1142, 10, 2194.89),
(7671, 5124, 74, 1491.45),
(9906, 9000, 232, 4663.97),
(3204, 2363, 150, 1662.20),
(6129, 6848, 122, 3355.94),
(7963, 3720, 158, 2903.46),
(1814, 3974, 150, 4631.43),
(3494, 9471, 214, 1805.05),
(5407, 2827, 174, 3748.88),
(3517, 3322, 97, 4783.61),
(608, 3898, 107, 2248.71),
(758, 2799, 131, 2545.52),
(9900, 6155, 211, 1313.89),
(6672, 6507, 14, 3648.99),
(7549, 5836, 178, 2852.09),
(9856, 9038, 63, 1162.37),
(624, 2971, 216, 2662.46),
(5955, 5165, 157, 1318.73),
(5965, 9817, 226, 1318.85),
(7602, 6634, 61, 3355.57),
(7763, 7360, 159, 3800.94),
(5538, 683, 164, 4134.29),
(8852, 231, 126, 2589.27),
(8177, 6633, 177, 1454.83),
(9601, 4547, 128, 4470.47),
(5464, 5600, 112, 3826.12),
(8351, 3484, 66, 4011.92),
(8585, 985, 139, 2360.82),
(4063, 2903, 220, 3527.29),
(8231, 5391, 58, 4295.03),
(9598, 7630, 123, 3343.50),
(5893, 5502, 150, 2010.91),
(5753, 8116, 135, 3691.83),
(8744, 8981, 147, 4915.70),
(8557, 5722, 34, 4466.53),
(3789, 7926, 42, 1751.63),
(1353, 6375, 173, 2474.83),
(1871, 3950, 163, 2262.95),
(8311, 5583, 193, 3466.34),
(3149, 4024, 173, 1905.74),
(199, 2734, 142, 4985.80),
(5146, 5616, 210, 4023.08),
(9119, 9898, 186, 4224.90),
(846, 8900, 79, 4451.37),
(720, 5415, 79, 4883.58),
(8258, 2397, 34, 4748.55),
(2111, 9197, 232, 2986.97),
(7895, 4496, 39, 3234.58),
(3755, 2345, 173, 2500.18),
(8684, 4549, 8, 3418.25),
(6189, 3719, 124, 3142.00),
(767, 2167, 154, 3211.21),
(8906, 1077, 126, 2228.06),
(1973, 7626, 110, 3214.83),
(7077, 839, 189, 1446.20),
(2751, 2280, 131, 3319.01),
(9472, 9261, 127, 1284.02),
(3522, 5114, 61, 3593.44),
(8718, 8195, 214, 2861.07),
(4218, 9845, 213, 4432.99),
(8973, 3576, 182, 1367.54),
(6939, 3238, 16, 2338.80),
(5440, 8503, 154, 3676.23),
(2670, 9472, 62, 2965.14),
(3196, 5424, 224, 3374.98),
(5487, 1945, 136, 4122.89),
(5059, 8627, 17, 2573.25),
(2752, 8647, 19, 1980.38),
(5671, 6773, 189, 1156.32),
(5739, 8839, 13, 3135.77),
(9828, 6266, 180, 3453.35),
(876, 6799, 190, 2289.98),
(2220, 8739, 91, 2865.62),
(8635, 8073, 229, 2359.26),
(5953, 5055, 38, 4498.57),
(1209, 6640, 80, 4356.58),
(524, 4221, 212, 1347.45),
(7262, 2187, 184, 1012.82),
(3556, 5597, 77, 2336.10),
(6478, 4412, 116, 2566.81),
(4637, 7244, 156, 2331.08),
(921, 1804, 232, 3763.77),
(4336, 1569, 27, 4241.62),
(9655, 2168, 68, 1047.24),
(368, 7610, 132, 2281.25),
(4882, 5219, 67, 1865.14),
(5666, 2596, 32, 2408.56),
(4917, 4588, 150, 1563.36),
(6521, 7402, 49, 3503.58),
(880, 5681, 143, 3565.05),
(3855, 2140, 59, 1660.56),
(448, 7739, 125, 4641.80),
(8335, 3842, 119, 4519.97),
(7703, 3212, 134, 4025.83),
(9680, 49, 112, 1292.84),
(1727, 2310, 170, 4759.86),
(260, 9712, 202, 1275.66),
(5405, 3823, 85, 1558.31),
(2018, 423, 119, 1487.61),
(8306, 2207, 131, 2398.89),
(685, 5042, 165, 2638.40),
(2342, 2664, 164, 2421.36),
(3072, 6356, 157, 3256.66),
(887, 8077, 209, 4430.55),
(8827, 6616, 213, 2484.62),
(7873, 7820, 29, 1412.75),
(2763, 8200, 99, 4766.09),
(8693, 3285, 161, 4755.07),
(7172, 2225, 168, 1082.31),
(2129, 8554, 118, 1132.20),
(787, 9140, 109, 4613.17),
(1382, 8259, 126, 4372.11),
(5579, 3088, 78, 4865.06),
(298, 9551, 103, 1288.43),
(974, 4568, 89, 4337.07),
(8977, 4695, 70, 2287.78),
(2467, 3279, 184, 4112.30),
(3427, 696, 132, 3769.78),
(4160, 3806, 57, 3221.38),
(7636, 570, 232, 3119.43),
(3607, 5312, 181, 2470.09),
(4210, 475, 81, 4238.83),
(1703, 1787, 134, 1819.15),
(9676, 5141, 39, 4909.36),
(7399, 4063, 222, 3540.73),
(25, 6148, 55, 3467.31),
(7650, 8759, 142, 4795.56),
(2877, 4941, 163, 3310.25),
(3221, 1611, 84, 3163.40),
(6199, 7171, 154, 3101.05),
(5132, 3279, 125, 4876.26),
(4320, 3451, 121, 4859.49),
(6307, 6821, 40, 3428.83),
(1862, 6725, 232, 2779.72),
(1573, 2931, 116, 3876.36),
(3013, 6891, 212, 3901.44),
(1469, 951, 93, 2473.80),
(9088, 8412, 228, 1178.66),
(4269, 6260, 108, 3111.71),
(3440, 7925, 44, 3574.81),
(1414, 8233, 157, 3858.22),
(6865, 7215, 105, 2519.99),
(8624, 2453, 9, 1248.03),
(5802, 242, 74, 2398.83),
(7577, 6321, 129, 2322.08),
(3664, 8699, 142, 4640.77),
(9694, 212, 105, 4361.83),
(6961, 1890, 212, 1771.51),
(8542, 6850, 178, 4770.04),
(6651, 7846, 70, 3414.26),
(5626, 7149, 15, 1069.77),
(5110, 4692, 189, 3436.38),
(9903, 5365, 161, 2230.12),
(3518, 7829, 80, 1115.86),
(1689, 9765, 209, 4895.14),
(9438, 9859, 172, 4852.33),
(4925, 3465, 135, 2345.28),
(8976, 5955, 56, 4305.37),
(556, 8319, 231, 1413.57),
(2531, 4970, 6, 2529.31),
(8419, 1680, 180, 3418.32),
(7281, 1691, 225, 1175.38),
(2095, 6108, 145, 3181.05),
(4056, 6475, 17, 4145.86),
(8999, 1921, 76, 1037.54),
(9598, 4890, 114, 1568.44),
(1613, 2213, 158, 3922.05),
(4989, 7154, 173, 3070.01),
(5118, 6031, 209, 4338.84),
(1494, 2434, 140, 3047.25),
(5762, 3804, 76, 4788.48),
(8266, 5756, 128, 2275.09),
(1031, 5584, 161, 1790.55),
(2029, 7575, 74, 3304.57),
(3787, 9519, 98, 1643.64),
(7832, 5724, 9, 2494.31),
(2485, 810, 32, 4362.66),
(9413, 871, 101, 4275.32),
(6918, 6212, 77, 4420.70),
(2668, 588, 8, 3135.45),
(1586, 2478, 131, 3703.08),
(6792, 680, 192, 2232.64),
(875, 2471, 84, 2669.89),
(8259, 3831, 57, 4786.96),
(1433, 2709, 156, 4712.43),
(6615, 3417, 161, 2990.15),
(2818, 1497, 92, 1403.48),
(6797, 990, 137, 1478.84),
(8634, 8098, 170, 4826.25),
(9214, 2821, 94, 2460.86),
(825, 7322, 28, 3448.09),
(8700, 6600, 61, 4384.04),
(9539, 4934, 163, 3666.78),
(205, 7708, 58, 1179.54),
(3402, 9701, 84, 3447.23),
(4584, 7382, 68, 2869.79),
(2080, 4494, 3, 2614.41),
(7310, 4209, 43, 2893.70),
(2672, 6854, 159, 1068.17),
(1450, 3645, 126, 1613.03),
(8292, 7951, 31, 2452.31),
(3650, 7471, 161, 2221.66),
(3892, 9124, 223, 4637.76),
(680, 352, 16, 2616.98),
(4939, 1559, 59, 2942.85),
(1278, 2929, 134, 4770.23),
(389, 5222, 146, 4761.87),
(4612, 6404, 81, 3423.19),
(7550, 3175, 114, 4410.69),
(9981, 1890, 198, 3901.37),
(8469, 2035, 101, 4554.63),
(6995, 5591, 218, 3816.35),
(4367, 9868, 136, 1163.13),
(431, 1694, 230, 3168.27),
(4745, 9347, 153, 3846.17),
(1737, 7686, 144, 2316.34),
(3922, 9087, 60, 2407.63),
(5170, 474, 222, 3866.25),
(8999, 467, 128, 2943.81),
(8179, 9162, 69, 4328.90),
(8872, 3188, 90, 1592.75),
(3340, 409, 5, 1415.93),
(5459, 6707, 144, 1185.05),
(5913, 1378, 32, 2666.49),
(1481, 2184, 144, 1588.55),
(1392, 2950, 95, 1382.91),
(513, 7472, 21, 4755.95),
(657, 5852, 127, 1314.37),
(9962, 5061, 182, 4776.18),
(699, 3013, 23, 2977.27),
(5988, 519, 128, 1585.42),
(7512, 2772, 124, 3551.47),
(6761, 8844, 146, 3696.06),
(5312, 8295, 34, 3004.19),
(6326, 319, 16, 1013.97),
(4261, 7661, 196, 3536.74),
(5416, 4799, 119, 1826.75),
(3139, 4923, 153, 3243.28),
(2616, 492, 40, 3472.03),
(9146, 5762, 120, 3696.16),
(8653, 3424, 132, 3703.86),
(5065, 8271, 34, 4100.01),
(5180, 4836, 32, 4963.74),
(1266, 1763, 59, 4904.34),
(4880, 2117, 140, 4903.06),
(8108, 3188, 175, 4161.17),
(2558, 6028, 181, 2644.16),
(2402, 4599, 63, 3461.67),
(9915, 5588, 113, 2365.92),
(2769, 4951, 130, 1173.37),
(6571, 7319, 51, 1739.61),
(7219, 5098, 198, 4284.09),
(5349, 9661, 99, 4099.76),
(348, 2875, 30, 3080.42),
(1676, 9334, 116, 3861.50),
(9556, 8326, 108, 2183.64),
(614, 2922, 182, 3643.71),
(6573, 1496, 150, 3507.31),
(9352, 3195, 216, 3076.43),
(2721, 488, 91, 3989.76),
(3112, 1480, 83, 2360.80),
(6616, 1284, 133, 3472.82),
(1906, 3500, 207, 2300.81),
(4177, 21, 48, 3581.24),
(8572, 2567, 176, 4886.22),
(5958, 7798, 191, 3421.37),
(8889, 2969, 173, 4663.57),
(6104, 2920, 41, 2846.62),
(2327, 1531, 83, 1040.73),
(4444, 7971, 36, 3913.06),
(2186, 9193, 81, 4853.32),
(7945, 1039, 144, 2602.10),
(5927, 9919, 19, 3105.93),
(9014, 1881, 82, 2488.04),
(2543, 8078, 130, 4027.17),
(6308, 4607, 70, 2970.67),
(5879, 7251, 172, 1397.69),
(6634, 1134, 89, 3569.79),
(1262, 1722, 36, 1883.92),
(2113, 4344, 220, 4405.45),
(8197, 315, 120, 1317.60),
(6668, 63, 183, 4051.28),
(6665, 1131, 59, 2143.74),
(905, 4441, 95, 4966.85),
(3144, 6077, 173, 1856.59),
(6478, 3217, 201, 1178.68),
(516, 4330, 201, 1674.30),
(1479, 3668, 44, 3267.98),
(6658, 5726, 42, 2641.03),
(9332, 2156, 169, 1945.31),
(6294, 8650, 96, 1387.32),
(5537, 3085, 198, 1128.15),
(2158, 875, 131, 4980.33),
(6876, 5305, 11, 4586.49),
(3866, 3813, 148, 4522.83),
(1739, 3019, 124, 3451.28),
(4604, 836, 153, 1535.88),
(4601, 8073, 213, 3806.61),
(589, 5732, 145, 3885.58),
(2794, 7217, 29, 1015.21),
(4382, 521, 14, 1318.17),
(8949, 5136, 14, 4051.47),
(5021, 8541, 137, 4054.50),
(2510, 9363, 123, 4953.48),
(9054, 2493, 10, 4887.55),
(1681, 2116, 102, 1302.18),
(9272, 7418, 25, 4161.24),
(1670, 9765, 35, 4564.30),
(9504, 5371, 204, 4034.32),
(1913, 8941, 174, 1635.51),
(9919, 5660, 208, 2741.29),
(8932, 8972, 132, 4822.94),
(743, 4949, 28, 4380.25),
(2589, 3356, 98, 1677.61),
(6155, 760, 21, 4785.98),
(7290, 3187, 110, 1325.48),
(4222, 24, 189, 1548.34),
(2585, 5636, 196, 2298.67),
(6941, 6676, 36, 3794.72),
(2483, 593, 176, 2049.89),
(7914, 2059, 108, 4611.23),
(2939, 7306, 175, 2608.03),
(7020, 3230, 164, 4145.74),
(6827, 9415, 167, 2352.52),
(7755, 4023, 10, 1830.97),
(4765, 1375, 78, 4363.14),
(2875, 7031, 171, 2212.34),
(2379, 7199, 53, 3933.99),
(9882, 5901, 214, 2904.69),
(7789, 3222, 103, 3701.67),
(1392, 5276, 223, 1824.82),
(9837, 6158, 49, 1539.04),
(4265, 5564, 115, 2509.64),
(7770, 927, 83, 1092.06),
(8105, 1181, 147, 3236.78),
(7866, 9268, 96, 1268.18),
(3921, 4144, 131, 4188.15),
(1878, 5524, 228, 4661.72),
(1287, 2274, 230, 1071.50),
(3481, 2944, 116, 1769.03),
(5661, 7477, 10, 1724.58),
(6623, 4983, 27, 1052.96),
(9020, 3427, 112, 3650.50),
(3725, 4207, 136, 3998.87),
(3068, 46, 61, 3922.05),
(7834, 9152, 113, 1094.57),
(2180, 370, 57, 2987.83),
(3010, 2639, 29, 4686.41),
(374, 2949, 159, 4179.62),
(1204, 5260, 194, 2614.12),
(5047, 2016, 163, 4365.90),
(3106, 2375, 30, 1857.62),
(2380, 4041, 119, 3381.73),
(3122, 3031, 228, 4382.94),
(9783, 7603, 113, 2902.01),
(5528, 7474, 199, 1285.50),
(645, 4078, 205, 1958.32),
(1517, 7053, 33, 2359.13),
(5735, 9487, 104, 4917.59),
(9549, 9004, 34, 3268.03),
(8758, 2955, 204, 3358.01),
(2033, 5445, 4, 3004.76),
(3474, 4375, 149, 3935.07),
(8982, 6779, 41, 3829.92),
(2100, 9256, 35, 3192.92),
(7337, 4408, 167, 3149.03),
(1033, 3683, 121, 2746.95),
(9304, 8553, 140, 4505.66),
(4505, 9986, 80, 2844.15),
(3490, 231, 186, 3297.70),
(7091, 7802, 227, 1452.28),
(8782, 5169, 169, 2403.14),
(1150, 7792, 81, 1631.13),
(6552, 43, 72, 1561.22),
(8312, 5781, 209, 3141.98),
(1482, 2009, 8, 4122.56),
(3851, 1977, 212, 3561.42),
(7847, 6722, 173, 4638.69),
(9644, 8475, 28, 4030.23),
(6273, 9468, 64, 2613.96),
(115, 2079, 217, 3548.10),
(8359, 9476, 110, 4051.01),
(6527, 7384, 23, 3052.50),
(5892, 9594, 158, 4324.22),
(6035, 2878, 98, 2804.63),
(9290, 9381, 77, 1075.78),
(9087, 8323, 159, 3592.62),
(2584, 6063, 167, 4922.78),
(6622, 9116, 231, 4247.84),
(6995, 4527, 135, 2029.52),
(6395, 3680, 101, 2915.00),
(1411, 1854, 110, 3447.01),
(5080, 4764, 207, 4295.32),
(9579, 4348, 49, 3544.67),
(7770, 7070, 19, 1749.61),
(6145, 8310, 74, 2360.22),
(823, 6420, 115, 2301.71),
(9652, 8253, 185, 3575.17),
(7682, 2535, 114, 1228.94),
(6900, 5821, 182, 3623.33),
(7160, 9127, 228, 1391.66),
(8373, 5655, 41, 3085.00),
(4205, 9444, 217, 1077.20),
(439, 9127, 171, 1614.42),
(564, 9619, 195, 1102.36),
(4598, 4584, 76, 2391.46),
(815, 4766, 159, 1655.81),
(4211, 1787, 7, 1420.72),
(212, 9402, 128, 4989.49),
(4076, 9920, 96, 4453.87),
(1196, 8182, 199, 1510.36),
(783, 3000, 178, 2527.31),
(2274, 85, 217, 4181.74),
(8830, 9933, 7, 1983.23),
(5450, 6854, 62, 1800.84),
(8897, 7500, 76, 1284.96),
(9383, 4606, 212, 4668.73),
(1956, 3913, 176, 3221.59),
(4879, 7342, 153, 4698.12),
(7818, 8050, 135, 4117.80),
(1814, 6460, 229, 2596.93),
(3005, 7654, 112, 3898.74),
(9715, 3951, 222, 2948.07),
(5733, 9730, 131, 4236.42),
(2061, 7784, 24, 4107.32),
(3670, 8724, 51, 3514.22),
(3267, 4451, 231, 3296.32),
(8988, 9971, 14, 4700.33),
(3988, 2957, 223, 4107.26),
(2172, 2869, 73, 4815.44),
(8169, 3368, 77, 3107.67),
(2757, 2950, 64, 2512.50),
(1152, 6763, 110, 1186.46),
(7310, 6796, 73, 4272.74),
(244, 3209, 132, 4288.58),
(5925, 5031, 181, 2306.61),
(3784, 5718, 72, 1723.01),
(1074, 7396, 217, 1945.91),
(3989, 3034, 187, 2381.96),
(7601, 6183, 166, 4902.16),
(8850, 2554, 135, 1461.13),
(725, 2268, 75, 3867.55),
(4690, 6217, 162, 4502.77),
(486, 3887, 103, 3226.48),
(2158, 5199, 225, 3590.93),
(8760, 3629, 5, 2348.38),
(4491, 32, 164, 3930.81),
(670, 9036, 141, 3921.67),
(7170, 2535, 151, 3772.88),
(2474, 5388, 45, 2835.45),
(3466, 51, 126, 3821.90),
(1001, 9402, 187, 2782.53),
(619, 1397, 111, 4476.61),
(9701, 1834, 166, 3371.43),
(4083, 8677, 207, 2548.35),
(2400, 6703, 33, 1776.16),
(8009, 531, 54, 1956.70),
(7384, 218, 144, 2267.11),
(8378, 7419, 99, 4485.88),
(3141, 4228, 37, 1717.60),
(3731, 1226, 113, 2521.11),
(8924, 3711, 130, 3861.43),
(7099, 6218, 98, 1944.01),
(459, 3843, 206, 3163.50),
(865, 994, 72, 1978.17),
(2437, 9705, 54, 4266.01),
(2038, 740, 110, 2879.84),
(3328, 2116, 145, 1832.33),
(8058, 564, 66, 2799.94),
(1046, 3243, 215, 4272.72),
(9088, 3177, 176, 1890.46),
(8539, 48, 124, 1749.07),
(7253, 7615, 75, 1367.96),
(6208, 6868, 164, 1822.55),
(6323, 2137, 47, 3230.34),
(9619, 6754, 184, 1440.77),
(4312, 5589, 6, 1306.72),
(8504, 970, 16, 4791.57),
(2434, 3063, 52, 4601.83),
(9090, 7036, 189, 3623.98),
(9385, 825, 105, 1096.83),
(9453, 3307, 170, 3270.25),
(2572, 4614, 93, 4618.22),
(6743, 7766, 104, 2635.50),
(9005, 331, 91, 3199.62),
(2708, 909, 162, 1632.82),
(9082, 8154, 129, 1319.47),
(5225, 9394, 202, 2683.08),
(5900, 5021, 15, 2002.78),
(8346, 1220, 54, 3361.82),
(2909, 740, 149, 4706.12),
(1706, 178, 218, 4481.11),
(7240, 6885, 34, 4439.00),
(9462, 6709, 5, 2389.42),
(7824, 6764, 166, 1673.40),
(7433, 574, 71, 3994.05),
(1483, 3135, 14, 3585.02),
(2944, 1829, 202, 3323.67),
(3959, 5465, 151, 2138.31),
(2297, 8919, 29, 3069.76),
(5486, 211, 201, 4156.03),
(8185, 9819, 33, 1897.05),
(4531, 2463, 176, 2319.62),
(7451, 9197, 84, 3660.30),
(6669, 9150, 7, 1160.22),
(160, 3476, 204, 1698.41),
(9786, 909, 214, 2488.90),
(4803, 4242, 151, 2259.85),
(1421, 4621, 92, 3483.80),
(1932, 7911, 120, 3716.64),
(3431, 550, 170, 1141.16),
(4558, 7400, 15, 4923.23),
(7073, 549, 150, 1927.79),
(4725, 2768, 41, 4105.16),
(1176, 891, 75, 3237.37),
(9265, 796, 192, 1795.11),
(356, 4568, 4, 4312.98),
(6973, 2162, 199, 3540.15),
(3066, 6283, 108, 3659.88),
(3254, 2989, 124, 3595.81),
(2023, 2199, 174, 1106.22),
(2150, 4152, 32, 2696.53),
(6196, 1565, 88, 2508.34),
(558, 1354, 48, 4850.04),
(2510, 3676, 200, 3109.44),
(3828, 4953, 63, 3384.32),
(3466, 7285, 165, 1336.85),
(5426, 5840, 45, 4256.13),
(8024, 6299, 156, 1582.15),
(411, 6096, 165, 2865.41),
(547, 8391, 74, 2460.21),
(4992, 4082, 143, 1774.32),
(5800, 831, 81, 1641.35),
(2827, 8805, 66, 1543.23),
(2082, 1468, 138, 1063.63),
(7238, 4830, 67, 3191.58),
(7822, 9377, 160, 2014.37),
(9211, 9949, 165, 3352.59),
(4438, 1252, 149, 4725.67),
(476, 3680, 97, 4078.32),
(1054, 4994, 173, 1406.15),
(7239, 2587, 145, 2023.34),
(3331, 8800, 23, 2078.37),
(1172, 5029, 125, 3127.22),
(3950, 2898, 113, 4162.48),
(384, 9325, 171, 2548.04),
(6600, 9705, 201, 3754.00),
(5467, 4568, 108, 1973.09),
(8654, 4611, 96, 3946.69),
(5999, 1063, 105, 3035.95),
(3099, 6507, 9, 1485.50),
